year,event_id,match_id,match_date,match_surface,match_court,match_round,tournament_name,tournament_city,tournament_draw,loser_name,winner_name,match_score,match_time,loser_aces_all,loser_aces_1st,loser_aces_2nd,loser_aces_3rd,loser_aces_4th,loser_aces_5th,winner_aces_all,winner_aces_1st,winner_aces_2nd,winner_aces_3rd,winner_aces_4th,winner_aces_5th,loser_double_faults_all,loser_double_faults_1st,loser_double_faults_2nd,loser_double_faults_3rd,loser_double_faults_4th,loser_double_faults_5th,winner_double_faults_all,winner_double_faults_1st,winner_double_faults_2nd,winner_double_faults_3rd,winner_double_faults_4th,winner_double_faults_5th,loser_serve_rating_all,loser_serve_rating_1st,loser_serve_rating_2nd,loser_serve_rating_3rd,loser_serve_rating_4th,loser_serve_rating_5th,winner_serve_rating_all,winner_serve_rating_1st,winner_serve_rating_2nd,winner_serve_rating_3rd,winner_serve_rating_4th,winner_serve_rating_5th,loser_first_serve_all,loser_first_serve_1st,loser_first_serve_2nd,loser_first_serve_3rd,loser_first_serve_4th,loser_first_serve_5th,winner_first_serve_all,winner_first_serve_1st,winner_first_serve_2nd,winner_first_serve_3rd,winner_first_serve_4th,winner_first_serve_5th,loser_first_serve_points_all,loser_first_serve_points_1st,loser_first_serve_points_2nd,loser_first_serve_points_3rd,loser_first_serve_points_4th,loser_first_serve_points_5th,winner_first_serve_points_all,winner_first_serve_points_1st,winner_first_serve_points_2nd,winner_first_serve_points_3rd,winner_first_serve_points_4th,winner_first_serve_points_5th,loser_second_serve_points_all,loser_second_serve_points_1st,loser_second_serve_points_2nd,loser_second_serve_points_3rd,loser_second_serve_points_4th,loser_second_serve_points_5th,winner_second_serve_points_all,winner_second_serve_points_1st,winner_second_serve_points_2nd,winner_second_serve_points_3rd,winner_second_serve_points_4th,winner_second_serve_points_5th,loser_break_points_saved_all,loser_break_points_saved_1st,loser_break_points_saved_2nd,loser_break_points_saved_3rd,loser_break_points_saved_4th,loser_break_points_saved_5th,winner_break_points_saved_all,winner_break_points_saved_1st,winner_break_points_saved_2nd,winner_break_points_saved_3rd,winner_break_points_saved_4th,winner_break_points_saved_5th,loser_service_games_played_all,loser_service_games_played_1st,loser_service_games_played_2nd,loser_service_games_played_3rd,loser_service_games_played_4th,loser_service_games_played_5th,winner_service_games_played_all,winner_service_games_played_1st,winner_service_games_played_2nd,winner_service_games_played_3rd,winner_service_games_played_4th,winner_service_games_played_5th,loser_return_rating_all,loser_return_rating_1st,loser_return_rating_2nd,loser_return_rating_3rd,loser_return_rating_4th,loser_return_rating_5th,winner_return_rating_all,winner_return_rating_1st,winner_return_rating_2nd,winner_return_rating_3rd,winner_return_rating_4th,winner_return_rating_5th,loser_first_serve_return_points_all,loser_first_serve_return_points_1st,loser_first_serve_return_points_2nd,loser_first_serve_return_points_3rd,loser_first_serve_return_points_4th,loser_first_serve_return_points_5th,winner_first_serve_return_points_all,winner_first_serve_return_points_1st,winner_first_serve_return_points_2nd,winner_first_serve_return_points_3rd,winner_first_serve_return_points_4th,winner_first_serve_return_points_5th,loser_second_serve_return_points_all,loser_second_serve_return_points_1st,loser_second_serve_return_points_2nd,loser_second_serve_return_points_3rd,loser_second_serve_return_points_4th,loser_second_serve_return_points_5th,winner_second_serve_return_points_all,winner_second_serve_return_points_1st,winner_second_serve_return_points_2nd,winner_second_serve_return_points_3rd,winner_second_serve_return_points_4th,winner_second_serve_return_points_5th,loser_break_points_converted_all,loser_break_points_converted_1st,loser_break_points_converted_2nd,loser_break_points_converted_3rd,loser_break_points_converted_4th,loser_break_points_converted_5th,winner_break_points_converted_all,winner_break_points_converted_1st,winner_break_points_converted_2nd,winner_break_points_converted_3rd,winner_break_points_converted_4th,winner_break_points_converted_5th,loser_total_service_points_won_all,loser_total_service_points_won_1st,loser_total_service_points_won_2nd,loser_total_service_points_won_3rd,loser_total_service_points_won_4th,loser_total_service_points_won_5th,winner_total_service_points_won_all,winner_total_service_points_won_1st,winner_total_service_points_won_2nd,winner_total_service_points_won_3rd,winner_total_service_points_won_4th,winner_total_service_points_won_5th,loser_total_return_points_won_all,loser_total_return_points_won_1st,loser_total_return_points_won_2nd,loser_total_return_points_won_3rd,loser_total_return_points_won_4th,loser_total_return_points_won_5th,winner_total_return_points_won_all,winner_total_return_points_won_1st,winner_total_return_points_won_2nd,winner_total_return_points_won_3rd,winner_total_return_points_won_4th,winner_total_return_points_won_5th,loser_total_points_won_all,loser_total_points_won_1st,loser_total_points_won_2nd,loser_total_points_won_3rd,loser_total_points_won_4th,loser_total_points_won_5th,winner_total_points_won_all,winner_total_points_won_1st,winner_total_points_won_2nd,winner_total_points_won_3rd,winner_total_points_won_4th,winner_total_points_won_5th
2022,352,2022/352/MS022,2022-10-31,Hard,Court Central,Round of 32,Rolex Paris Masters,Paris,56,Taylor Fritz,Gilles Simon,"7-5, 5-7, 6-4",03:06:12,8,3,2,3,,,4,2,2,0,,,1,1,0,0,,,2,0,1,1,,,261,223,279,280,,,270,282,234,288,,,65/112,17/45,31/41,17/26,"","",67/112,17/31,28/42,22/39,"","",46/65,12/17,21/31,13/17,"","",47/67,12/17,20/28,15/22,"","",23/47,13/28,5/10,5/9,"","",25/45,10/14,4/14,11/17,"","",7/11,3/5,4/5,0/1,"","",6/9,3/4,0/2,3/3,"","",17,6,6,5,,,17,6,6,5,,,124,99,233,67,,,139,156,118,188,,,20/67,5/17,8/28,7/22,"","",19/65,5/17,10/31,4/17,"","",20/45,4/14,10/14,6/17,"","",24/47,15/28,5/10,4/9,"","",3/9,1/4,2/2,0/3,"","",4/11,2/5,1/5,1/1,"","",69/112,25/45,26/41,18/26,"","",72/112,22/31,24/42,26/39,"","",40/112,9/31,18/42,13/39,"","",43/112,20/45,15/41,8/26,"","",109/224,34/76,44/83,31/65,"","",115/224,42/76,39/83,34/65,"",""
2022,352,2022/352/MS023,2022-10-31,Hard,Court 1,Round of 32,Rolex Paris Masters,Paris,56,Mikael Ymer,Felix Auger-Aliassime,"6-7, 6-4, 7-6",03:30:44,2,0,0,2,,,11,3,5,3,,,3,0,2,1,,,6,2,3,1,,,270,330,221,252,,,267,287,250,254,,,86/112,33/42,23/30,30/40,"","",97/143,38/55,31/47,28/41,"","",55/86,24/33,13/23,18/30,"","",69/97,29/38,22/31,18/28,"","",14/26,7/9,2/7,5/10,"","",19/46,7/17,5/16,7/13,"","",1/5,1/1,0/2,0/2,"","",14/17,5/5,7/8,2/4,"","",17,6,5,6,,,17,6,5,6,,,123,83,131,165,,,185,49,254,223,,,28/97,9/38,9/31,10/28,"","",31/86,9/33,10/23,12/30,"","",27/46,10/17,11/16,6/13,"","",12/26,2/9,5/7,5/10,"","",3/17,0/5,1/8,2/4,"","",4/5,0/1,2/2,2/2,"","",69/112,31/42,15/30,23/40,"","",88/143,36/55,27/47,25/41,"","",55/143,19/55,20/47,16/41,"","",43/112,11/42,15/30,17/40,"","",124/255,50/97,35/77,39/81,"","",131/255,47/97,42/77,42/81,"",""
2022,352,2022/352/MS024,2022-10-31,Hard,Court Central,Round of 32,Rolex Paris Masters,Paris,56,Maxime Cressy,Novak Djokovic,"7-6, 6-4",01:43:27,15,10,5,,,,4,3,1,,,,10,6,4,,,,2,0,2,,,,277,287,261,,,,345,359,328,,,,47/78,31/50,16/28,"","","",38/54,25/31,13/23,"","","",36/47,23/31,13/16,"","","",35/38,23/25,12/13,"","","",14/31,9/19,5/12,"","","",13/16,5/6,8/10,"","","",4/5,3/3,1/2,"","","",0/0,0/0,0/0,"","","",11,6,5,,,,11,6,5,,,,27,25,28,,,,107,79,147,,,,3/38,2/25,1/13,"","","",11/47,8/31,3/16,"","","",3/16,1/6,2/10,"","","",17/31,10/19,7/12,"","","",0/0,0/0,0/0,"","","",1/5,0/3,1/2,"","","",50/78,32/50,18/28,"","","",48/54,28/31,20/23,"","","",6/54,3/31,3/23,"","","",28/78,18/50,10/28,"","","",56/132,35/81,21/51,"","","",76/132,46/81,30/51,"","",""
2022,352,2022/352/MS025,2022-10-31,Hard,Court Central,Round of 32,Rolex Paris Masters,Paris,56,Marc-Andrea Huesler,Karen Khachanov,"6-3, 4-6, 6-4",01:54:24,4,2,2,0,,,10,3,2,5,,,3,2,0,1,,,2,0,1,1,,,276,250,345,242,,,299,314,273,296,,,55/78,11/21,20/24,24/33,"","",51/76,17/27,19/27,15/22,"","",38/55,8/11,17/20,13/24,"","",44/51,15/17,16/19,13/15,"","",13/23,5/10,3/4,5/9,"","",13/25,6/10,3/8,4/7,"","",0/3,0/1,0/0,0/2,"","",2/4,0/0,2/3,0/1,"","",14,4,5,5,,,15,5,5,5,,,125,52,132,176,,,195,202,40,230,,,7/51,2/17,3/19,2/15,"","",17/55,3/11,3/20,11/24,"","",12/25,4/10,5/8,3/7,"","",10/23,5/10,1/4,4/9,"","",2/4,0/0,1/3,1/1,"","",3/3,1/1,0/0,2/2,"","",51/78,13/21,20/24,18/33,"","",57/76,21/27,19/27,17/22,"","",19/76,6/27,8/27,5/22,"","",27/78,8/21,4/24,15/33,"","",70/154,19/48,28/51,23/55,"","",84/154,29/48,23/51,32/55,"",""
2022,352,2022/352/MS026,2022-10-31,Hard,Court 2,Round of 32,Rolex Paris Masters,Paris,56,Nikoloz Basilashvili,Lorenzo Musetti,"6-4, 6-2",01:09:57,4,3,1,,,,4,1,3,,,,1,1,0,,,,3,2,1,,,,223,262,166,,,,297,312,274,,,,40/57,24/36,16/21,"","","",27/43,14/25,13/18,"","","",24/40,17/24,7/16,"","","",24/27,13/14,11/13,"","","",6/17,5/12,1/5,"","","",9/16,7/11,2/5,"","","",3/7,2/3,1/4,"","","",0/1,0/0,0/1,"","","",9,5,4,,,,9,5,4,,,,166,43,200,,,,206,140,286,,,,3/27,1/14,2/13,"","","",16/40,7/24,9/16,"","","",7/16,4/11,3/5,"","","",11/17,7/12,4/5,"","","",1/1,0/0,1/1,"","","",4/7,1/3,3/4,"","","",30/57,22/36,8/21,"","","",33/43,20/25,13/18,"","","",10/43,5/25,5/18,"","","",27/57,14/36,13/21,"","","",40/100,27/61,13/39,"","","",60/100,34/61,26/39,"","",""
2022,352,2022/352/MS027,2022-10-31,Hard,Court Central,Round of 32,Rolex Paris Masters,Paris,56,Richard Gasquet,Casper Ruud,"6-1, 7-6",01:24:13,6,3,3,,,,6,1,5,,,,1,0,1,,,,1,1,0,,,,263,172,298,,,,303,310,294,,,,37/51,10/14,27/37,"","","",36/59,10/20,26/39,"","","",23/37,4/10,19/27,"","","",31/36,9/10,22/26,"","","",8/14,1/4,7/10,"","","",14/23,7/10,7/13,"","","",0/3,0/2,0/1,"","","",3/4,0/0,3/4,"","","",9,3,6,,,,10,4,6,,,,88,40,102,,,,214,301,176,,,,5/36,1/10,4/26,"","","",14/37,6/10,8/27,"","","",9/23,3/10,6/13,"","","",6/14,3/4,3/10,"","","",1/4,0/0,1/4,"","","",3/3,2/2,1/1,"","","",31/51,5/14,26/37,"","","",45/59,16/20,29/39,"","","",14/59,4/20,10/39,"","","",20/51,9/14,11/37,"","","",45/110,9/34,36/76,"","","",65/110,25/34,40/76,"","",""
2022,352,2022/352/MS028,2022-10-31,Hard,Court Central,Round of 32,Rolex Paris Masters,Paris,56,Daniel Evans,Stefanos Tsitsipas,"6-3, 6-4",01:20:07,2,2,0,,,,8,4,4,,,,1,1,0,,,,1,1,0,,,,276,262,291,,,,321,305,334,,,,39/53,16/24,23/29,"","","",40/58,23/34,17/24,"","","",26/39,11/16,15/23,"","","",31/40,16/23,15/17,"","","",8/14,4/8,4/6,"","","",12/18,7/11,5/7,"","","",5/7,2/3,3/4,"","","",1/1,1/1,0/0,"","","",9,4,5,,,,10,5,5,,,,56,66,41,,,,127,139,113,,,,9/40,7/23,2/17,"","","",13/39,5/16,8/23,"","","",6/18,4/11,2/7,"","","",6/14,4/8,2/6,"","","",0/1,0/1,0/0,"","","",2/7,1/3,1/4,"","","",34/53,15/24,19/29,"","","",43/58,23/34,20/24,"","","",15/58,11/34,4/24,"","","",19/53,9/24,10/29,"","","",49/111,26/58,23/53,"","","",62/111,32/58,30/53,"","",""
2022,352,2022/352/MS029,2022-10-31,Hard,Court Central,Round of 32,Rolex Paris Masters,Paris,56,Cameron Norrie,Corentin Moutet,"6-3, 5-7, 7-6",02:52:36,4,1,2,1,,,6,1,2,3,,,4,1,2,1,,,0,0,0,0,,,255,217,284,257,,,291,315,272,283,,,82/118,22/32,30/44,30/42,"","",67/97,13/21,23/34,31/42,"","",60/82,15/22,24/30,21/30,"","",48/67,10/13,17/23,21/31,"","",11/36,2/10,5/14,4/12,"","",17/30,6/8,5/11,6/11,"","",2/5,0/2,1/1,1/2,"","",1/3,0/0,1/2,0/1,"","",17,5,6,6,,,16,4,6,6,,,150,48,147,193,,,173,252,84,163,,,19/67,3/13,6/23,10/31,"","",22/82,7/22,6/30,9/30,"","",13/30,2/8,6/11,5/11,"","",25/36,8/10,9/14,8/12,"","",2/3,0/0,1/2,1/1,"","",3/5,2/2,0/1,1/2,"","",71/118,17/32,29/44,25/42,"","",65/97,16/21,22/34,27/42,"","",32/97,5/21,12/34,15/42,"","",47/118,15/32,15/44,17/42,"","",103/215,22/53,41/78,40/84,"","",112/215,31/53,37/78,44/84,"",""
2022,352,2022/352/MS030,2022-10-31,Hard,Court 1,Round of 32,Rolex Paris Masters,Paris,56,Denis Shapovalov,Pablo Carreno Busta,"7-6, 2-6, 6-4",02:14:18,12,4,3,5,,,3,2,1,0,,,9,5,1,3,,,2,1,1,0,,,273,253,302,285,,,285,304,219,312,,,51/103,30/58,8/21,13/24,"","",48/81,21/33,14/23,13/25,"","",44/51,25/30,8/8,11/13,"","",36/48,17/21,9/14,10/13,"","",25/52,10/28,8/13,7/11,"","",23/33,9/12,4/9,10/12,"","",7/9,7/8,0/0,0/1,"","",2/5,0/1,2/4,0/0,"","",15,6,4,5,,,15,6,4,5,,,135,160,192,40,,,101,110,38,171,,,12/48,4/21,5/14,3/13,"","",7/51,5/30,0/8,2/13,"","",10/33,3/12,5/9,2/12,"","",27/52,18/28,5/13,4/11,"","",3/5,1/1,2/4,0/0,"","",2/9,1/8,0/0,1/1,"","",69/103,35/58,16/21,18/24,"","",59/81,26/33,13/23,20/25,"","",22/81,7/33,10/23,5/25,"","",34/103,23/58,5/21,6/24,"","",91/184,42/91,26/44,23/49,"","",93/184,49/91,18/44,26/49,"",""
2022,352,2022/352/MS031,2022-10-31,Hard,Court Central,Round of 32,Rolex Paris Masters,Paris,56,Rafael Nadal,Tommy Paul,"3-6, 7-6, 6-1",02:32:46,6,0,3,3,,,4,1,2,1,,,3,1,1,1,,,2,0,1,1,,,242,260,271,163,,,260,213,280,270,,,67/99,22/31,29/43,16/25,"","",50/88,12/23,29/43,9/22,"","",45/67,17/22,20/29,8/16,"","",39/50,10/12,23/29,6/9,"","",12/32,3/9,7/14,2/9,"","",18/38,3/11,7/14,8/13,"","",3/8,0/1,3/4,0/3,"","",2/5,0/2,1/2,1/1,"","",15,5,6,4,,,13,4,6,3,,,158,240,137,71,,,192,210,122,303,,,11/50,2/12,6/29,3/9,"","",22/67,5/22,9/29,8/16,"","",20/38,8/11,7/14,5/13,"","",20/32,6/9,7/14,7/9,"","",3/5,2/2,1/2,0/1,"","",5/8,1/1,1/4,3/3,"","",57/99,20/31,27/43,10/25,"","",57/88,13/23,30/43,14/22,"","",31/88,10/23,13/43,8/22,"","",42/99,11/31,16/43,15/25,"","",88/187,30/54,40/86,18/47,"","",99/187,24/54,46/86,29/47,"",""
2022,352,2022/352/MS033,2022-10-31,Hard,Court 1,Round of 64,Rolex Paris Masters,Paris,56,Aslan Karatsev,Yoshihito Nishioka,"6-3, 6-4",01:31:14,10,5,5,,,,6,4,2,,,,5,0,5,,,,0,0,0,,,,261,278,250,,,,301,318,284,,,,32/55,12/20,20/35,"","","",57/83,33/45,24/38,"","","",25/32,9/12,16/20,"","","",39/57,19/33,20/24,"","","",10/23,5/8,5/15,"","","",15/26,10/12,5/14,"","","",3/5,0/1,3/4,"","","",7/7,2/2,5/5,"","","",9,4,5,,,,10,5,5,,,,74,59,81,,,,141,188,132,,,,18/57,14/33,4/24,"","","",7/32,3/12,4/20,"","","",11/26,2/12,9/14,"","","",13/23,3/8,10/15,"","","",0/7,0/2,0/5,"","","",2/5,1/1,1/4,"","","",35/55,14/20,21/35,"","","",54/83,29/45,25/38,"","","",29/83,16/45,13/38,"","","",20/55,6/20,14/35,"","","",64/138,30/65,34/73,"","","",74/138,35/65,39/73,"","",""
2022,352,2022/352/MS034,2022-10-31,Hard,Court 1,Round of 64,Rolex Paris Masters,Paris,56,Botic van de Zandschulp,Grigor Dimitrov,"7-6, 7-6",01:55:54,12,7,5,,,,5,2,3,,,,8,4,4,,,,2,1,1,,,,273,269,273,,,,276,265,279,,,,46/77,25/40,21/37,"","","",44/79,22/42,22/37,"","","",36/46,20/25,16/21,"","","",35/44,14/22,21/22,"","","",15/31,6/15,9/16,"","","",19/35,13/20,6/15,"","","",0/2,0/1,0/1,"","","",2/4,1/2,1/2,"","","",12,6,6,,,,12,6,6,,,,132,137,131,,,,190,196,184,,,,9/44,8/22,1/22,"","","",10/46,5/25,5/21,"","","",16/35,7/20,9/15,"","","",16/31,9/15,7/16,"","","",2/4,1/2,1/2,"","","",2/2,1/1,1/1,"","","",51/77,26/40,25/37,"","","",54/79,27/42,27/37,"","","",25/79,15/42,10/37,"","","",26/77,14/40,12/37,"","","",76/156,41/82,35/74,"","","",80/156,41/82,39/74,"","",""
2022,352,2022/352/MS035,2022-10-31,Hard,Court 1,Round of 64,Rolex Paris Masters,Paris,56,Arthur Fils,Fabio Fognini,"7-6, 6-7, 6-2",02:36:33,10,3,6,1,,,5,1,2,2,,,6,2,2,2,,,6,3,2,1,,,250,295,235,194,,,273,285,233,337,,,66/113,27/44,24/45,15/24,"","",62/108,25/46,24/43,13/19,"","",48/66,20/27,19/24,9/15,"","",44/62,19/25,14/24,11/13,"","",19/47,10/17,7/21,2/9,"","",27/46,12/21,10/19,5/6,"","",11/15,5/5,2/4,4/6,"","",4/6,2/2,2/4,0/0,"","",16,6,6,4,,,16,6,6,4,,,115,67,172,32,,,139,67,171,201,,,18/62,6/25,10/24,2/13,"","",18/66,7/27,5/24,6/15,"","",19/46,9/21,9/19,1/6,"","",28/47,7/17,14/21,7/9,"","",2/6,0/2,2/4,0/0,"","",4/15,0/5,2/4,2/6,"","",67/113,30/44,26/45,11/24,"","",71/108,31/46,24/43,16/19,"","",37/108,15/46,19/43,3/19,"","",46/113,14/44,19/45,13/24,"","",104/221,45/90,45/88,14/43,"","",117/221,45/90,43/88,29/43,"",""
2022,352,2022/352/MS036,2022-10-31,Hard,Court Central,Round of 64,Rolex Paris Masters,Paris,56,Adrian Mannarino,Hubert Hurkacz,"7-6, 6-4",01:48:58,5,2,3,,,,20,12,8,,,,2,2,0,,,,2,1,1,,,,296,299,287,,,,313,300,319,,,,41/68,22/42,19/26,"","","",45/80,27/52,18/28,"","","",31/41,17/22,14/19,"","","",37/45,23/27,14/18,"","","",18/27,14/20,4/7,"","","",20/35,13/25,7/10,"","","",0/1,0/0,0/1,"","","",8/8,8/8,0/0,"","","",11,6,5,,,,11,6,5,,,,61,63,52,,,,166,53,189,,,,8/45,4/27,4/18,"","","",10/41,5/22,5/19,"","","",15/35,12/25,3/10,"","","",9/27,6/20,3/7,"","","",0/8,0/8,0/0,"","","",1/1,0/0,1/1,"","","",49/68,31/42,18/26,"","","",57/80,36/52,21/28,"","","",23/80,16/52,7/28,"","","",19/68,11/42,8/26,"","","",72/148,47/94,25/54,"","","",76/148,47/94,29/54,"","",""
2022,352,2022/352/MS037,2022-10-31,Hard,Court 1,Round of 64,Rolex Paris Masters,Paris,56,Stan Wawrinka,Holger Rune,"4-6, 7-5, 7-6",02:30:26,2,0,2,0,,,10,2,5,3,,,0,0,0,0,,,7,1,5,1,,,271,299,223,288,,,292,270,262,340,,,52/104,13/28,15/34,24/42,"","",60/102,13/26,20/39,27/37,"","",39/52,13/13,8/15,18/24,"","",48/60,10/13,15/20,23/27,"","",29/52,8/15,11/19,10/18,"","",26/42,8/13,10/19,8/10,"","",1/3,1/1,0/2,0/0,"","",7/9,1/2,5/6,1/1,"","",17,5,6,6,,,17,5,6,6,,,91,131,105,35,,,147,47,222,69,,,12/60,3/13,5/20,4/27,"","",13/52,0/13,7/15,6/24,"","",16/42,5/13,9/19,2/10,"","",23/52,7/15,8/19,8/18,"","",2/9,1/2,1/6,0/1,"","",2/3,0/1,2/2,0/0,"","",68/104,21/28,19/34,28/42,"","",74/102,18/26,25/39,31/37,"","",28/102,8/26,14/39,6/37,"","",36/104,7/28,15/34,14/42,"","",96/206,29/54,33/73,34/79,"","",110/206,25/54,40/73,45/79,"",""
2022,352,2022/352/MS038,2022-10-31,Hard,Court 2,Round of 64,Rolex Paris Masters,Paris,56,Oscar Otte,John Isner,"6-4, 7-6",01:21:31,12,3,9,,,,19,8,11,,,,1,0,1,,,,1,0,1,,,,290,272,299,,,,349,343,339,,,,32/66,13/26,19/40,"","","",47/63,22/28,25/35,"","","",29/32,11/13,18/19,"","","",38/47,16/22,22/25,"","","",17/34,7/13,10/21,"","","",12/16,5/6,7/10,"","","",0/1,0/1,0/0,"","","",2/2,0/0,2/2,"","","",11,5,6,,,,11,5,6,,,,44,44,42,,,,168,181,57,,,,9/47,6/22,3/25,"","","",3/32,2/13,1/19,"","","",4/16,1/6,3/10,"","","",17/34,6/13,11/21,"","","",0/2,0/0,0/2,"","","",1/1,1/1,0/0,"","","",46/66,18/26,28/40,"","","",50/63,21/28,29/35,"","","",13/63,7/28,6/35,"","","",20/66,8/26,12/40,"","","",59/129,25/54,34/75,"","","",70/129,29/54,41/75,"","",""
2022,352,2022/352/MS041,2022-10-31,Hard,Court Central,Round of 64,Rolex Paris Masters,Paris,56,Sebastian Korda,Alex de Minaur,"6-4, 4-6, 6-4",02:42:14,12,6,3,3,,,2,0,0,2,,,2,0,1,1,,,4,1,0,3,,,272,263,260,277,,,265,297,232,276,,,66/105,25/41,23/35,18/29,"","",68/104,20/33,23/33,25/38,"","",45/66,15/25,16/23,14/18,"","",47/68,15/20,12/23,20/25,"","",20/39,9/16,5/12,6/11,"","",17/36,8/13,5/10,4/13,"","",8/11,4/5,2/3,2/3,"","",11/13,1/1,5/7,5/5,"","",15,5,5,5,,,15,5,5,5,,,112,63,167,89,,,128,124,141,120,,,21/68,5/20,11/23,5/25,"","",21/66,10/25,7/23,4/18,"","",19/36,5/13,5/10,9/13,"","",19/39,7/16,7/12,5/11,"","",2/13,0/1,2/7,0/5,"","",3/11,1/5,1/3,1/3,"","",65/105,24/41,21/35,20/29,"","",64/104,23/33,17/33,24/38,"","",40/104,10/33,16/33,14/38,"","",40/105,17/41,14/35,9/29,"","",105/209,34/74,37/68,34/67,"","",104/209,40/74,31/68,33/67,"",""
2022,352,2022/352/MS042,2022-10-31,Hard,Court Central,Round of 64,Rolex Paris Masters,Paris,56,Arthur Rinderknech,Jack Draper,"6-3, 6-4",01:30:24,3,2,1,,,,5,3,2,,,,1,1,0,,,,3,2,1,,,,258,241,285,,,,308,319,298,,,,35/58,12/26,23/32,"","","",31/54,14/24,17/30,"","","",25/35,10/12,15/23,"","","",30/31,14/14,16/17,"","","",11/23,5/14,6/9,"","","",12/23,6/10,6/13,"","","",5/7,2/3,3/4,"","","",2/2,0/0,2/2,"","","",9,4,5,,,,10,5,5,,,,51,40,60,,,,132,139,113,,,,1/31,0/14,1/17,"","","",10/35,2/12,8/23,"","","",11/23,4/10,7/13,"","","",12/23,9/14,3/9,"","","",0/2,0/0,0/2,"","","",2/7,1/3,1/4,"","","",36/58,15/26,21/32,"","","",42/54,20/24,22/30,"","","",12/54,4/24,8/30,"","","",22/58,11/26,11/32,"","","",48/112,19/50,29/62,"","","",64/112,31/50,33/62,"","",""
2022,352,2022/352/MS043,2022-10-31,Hard,Court 1,Round of 64,Rolex Paris Masters,Paris,56,Lorenzo Sonego,Frances Tiafoe,"6-4, 6-4",01:14:36,8,5,3,,,,3,1,2,,,,0,0,0,,,,0,0,0,,,,270,261,271,,,,328,318,341,,,,42/61,20/31,22/30,"","","",32/49,15/25,17/24,"","","",32/42,15/20,17/22,"","","",27/32,13/15,14/17,"","","",7/19,4/11,3/8,"","","",13/17,7/10,6/7,"","","",1/3,0/1,1/2,"","","",0/0,0/0,0/0,"","","",10,5,5,,,,10,5,5,,,,40,43,32,,,,174,209,156,,,,5/32,2/15,3/17,"","","",10/42,5/20,5/22,"","","",4/17,3/10,1/7,"","","",12/19,7/11,5/8,"","","",0/0,0/0,0/0,"","","",2/3,1/1,1/2,"","","",39/61,19/31,20/30,"","","",40/49,20/25,20/24,"","","",9/49,5/25,4/24,"","","",22/61,12/31,10/30,"","","",48/110,24/56,24/54,"","","",62/110,32/56,30/54,"","",""
2022,352,2022/352/MS044,2022-10-31,Hard,Court Central,Round of 64,Rolex Paris Masters,Paris,56,Alejandro Davidovich Fokina,Taylor Fritz,"7-5, 6-2",01:29:42,3,1,2,,,,4,3,1,,,,6,3,3,,,,2,0,2,,,,202,236,152,,,,257,278,234,,,,36/61,22/36,14/25,"","","",41/71,20/33,21/38,"","","",20/36,15/22,5/14,"","","",33/41,17/20,16/21,"","","",10/25,6/14,4/11,"","","",11/30,6/13,5/17,"","","",5/10,3/5,2/5,"","","",1/3,0/1,1/2,"","","",10,6,4,,,,10,6,4,,,,170,185,170,,,,204,162,263,,,,8/41,3/20,5/21,"","","",16/36,7/22,9/14,"","","",19/30,7/13,12/17,"","","",15/25,8/14,7/11,"","","",2/3,1/1,1/2,"","","",5/10,2/5,3/5,"","","",30/61,21/36,9/25,"","","",44/71,23/33,21/38,"","","",27/71,10/33,17/38,"","","",31/61,15/36,16/25,"","","",57/132,31/69,26/63,"","","",75/132,38/69,37/63,"","",""
2022,352,2022/352/MS045,2022-10-31,Hard,Court Central,Round of 64,Rolex Paris Masters,Paris,56,Andy Murray,Gilles Simon,"4-6, 7-5, 6-3",02:50:32,7,4,1,2,,,3,1,1,1,,,8,3,1,4,,,3,2,1,0,,,222,255,203,215,,,249,225,241,286,,,49/91,17/31,21/36,11/24,"","",53/95,16/30,16/32,21/33,"","",34/49,13/17,13/21,8/11,"","",36/53,9/16,12/16,15/21,"","",16/42,6/14,5/15,5/13,"","",22/42,8/14,8/16,6/12,"","",6/12,3/4,3/6,0/2,"","",6/10,2/4,1/3,3/3,"","",16,5,6,5,,,15,5,6,4,,,146,177,175,79,,,180,126,205,229,,,17/53,7/16,4/16,6/21,"","",15/49,4/17,8/21,3/11,"","",20/42,6/14,8/16,6/12,"","",26/42,8/14,10/15,8/13,"","",4/10,2/4,2/3,0/3,"","",6/12,1/4,3/6,2/2,"","",50/91,19/31,18/36,13/24,"","",58/95,17/30,20/32,21/33,"","",37/95,13/30,12/32,12/33,"","",41/91,12/31,18/36,11/24,"","",87/186,32/61,30/68,25/57,"","",99/186,29/61,38/68,32/57,"",""
